TrackIDTRACK_DURATION(TIME) TRACK_START(TIME) TRACK_STOP(TIME) TRACK_DISPLACEMENT(LENGTH) TRACK_MEAN_SPEED(VELOCITY) TRACK_MAX_SPEED(VELOCITY) TRACK_MIN_SPEED(VELOCITY) TRACK_MEDIAN_SPEED(VELOCITY) TRACK_STD_SPEED(VELOCITY) NUMBER_SPOTS(NONE) NUMBER_GAPS(NONE) LONGEST_GAP(NONE) NUMBER_SPLITS(NONE) NUMBER_MERGES(NONE) NUMBER_COMPLEX(NONE) TRACK_INDEX(NONE) TRACK_ID(NONE) TRACK_X_LOCATION(POSITION) TRACK_Y_LOCATION(POSITION) TRACK_Z_LOCATION(POSITION) TRACK_MEAN_QUALITY(QUALITY) TRACK_MAX_QUALITY(QUALITY) TRACK_MIN_QUALITY(QUALITY) TRACK_MEDIAN_QUALITY(QUALITY) TRACK_STD_QUALITY(QUALITY) 
0 1.33340969682 0.0 1.33340969682 6.57404235242 6.00059011152 9.38068604173 2.1696116244 5.98270669928 2.51270076196 10 1 1 0 0 0 0 0 115.929014427 141.032131662 0.0 58.3034805298 74.9136047363 42.3823852539 58.9685821533 8.50856280721 
1 0.80004581809 0.0 0.80004581809 2.43839785092 4.97277027728 6.80961052699 3.4048052635 6.14626862662 1.75973826868 5 2 1 0 0 0 1 1 19.0677602146 0.726206310571 0.0 44.672442627 59.9513397217 33.9983062744 44.6181945801 9.16401121576 
2 0.933386787772 0.0 0.933386787772 4.55712072009 5.84276631077 8.0039080329 0.968695277828 7.02809993985 2.58395000615 7 1 1 0 0 0 2 2 87.2286857262 142.456144958 0.0 39.3687722342 46.4374237061 28.0271911621 41.1013031006 5.92648130007 
3 2.66681939363 0.0 2.66681939363 2.07817996353 3.14926563526 11.2278700781 0.0 2.26114679681 3.11038740528 18 2 2 0 0 0 3 3 153.110224983 0.70198773682 0.0 43.3678071764 56.6382751465 30.0359420776 41.5275115967 6.94740159383 
4 0.400022909045 0.0 0.400022909045 8.22764591233 20.7304314879 20.7450916974 20.7157712783 20.7450916974 0.0207326671742 3 1 1 0 0 0 4 4 46.6022065797 140.885556217 0.0 51.2716369629 56.1343536377 47.9771881104 49.7033691406 3.50993212963 
5 0.133340969682 0.0 0.133340969682 4.31570705958 32.3659492644 32.3659492644 32.3659492644 32.3659492644 nan 2 0 0 0 0 0 5 5 7.05912905333 144.360109117 0.0 65.649307251 68.9952850342 62.3033294678 68.9952850342 3.3459777832 
6 0.133340969682 0.0 0.133340969682 0.0223552887518 0.167655063595 0.167655063595 0.167655063595 0.167655063595 nan 2 0 0 0 0 0 6 6 73.1246672677 146.36493256 0.0 47.753616333 49.4943237305 46.0129089355 49.4943237305 1.74070739746 
7 0.133340969682 0.0 0.133340969682 4.09696303193 30.7254630119 30.7254630119 30.7254630119 30.7254630119 nan 2 0 0 0 0 0 7 7 106.843711582 144.574364242 0.0 62.6859359741 66.1999206543 59.1719512939 66.1999206543 3.51398468018 
8 1.4667506665 0.0 1.4667506665 6.72361029728 6.73647898707 19.0469984126 1.70240263175 5.93595984764 4.8444141459 11 1 1 0 0 0 8 8 12.7518204182 3.54734068476 0.0 37.250067971 57.9021911621 28.2714996338 36.3319549561 7.78845942644 
9 0.133340969682 0.0 0.133340969682 4.22979692815 31.7216601788 31.7216601788 31.7216601788 31.7216601788 nan 2 0 0 0 0 0 9 9 16.8864841616 146.201418542 0.0 37.0963096619 38.7327728271 35.4598464966 38.7327728271 1.63646316528 
10 0.533363878727 0.0 0.533363878727 11.51655844 23.3215790469 26.7753792002 19.8677788936 26.7753792002 4.88441101856 3 1 2 0 0 0 10 10 158.899812955 143.324896509 0.0 33.8307317098 35.9786682129 31.8337020874 33.6798248291 1.69553643632 
11 0.133340969682 0.0 0.133340969682 4.42868000489 33.2131978301 33.2131978301 33.2131978301 33.2131978301 nan 2 0 0 0 0 0 11 11 158.410297218 6.87605568023 0.0 31.5233345032 33.3616714478 29.6849975586 33.3616714478 1.83833694458 
12 4.4002519995 0.0 4.4002519995 10.3607992097 5.17316503854 15.6011387667 0.825309209984 4.38206152321 3.31576683619 31 3 1 0 0 0 12 12 138.652518657 4.56876855422 0.0 35.4206673407 44.3677062988 28.032951355 34.8793563843 5.13414262224 
13 0.533363878727 0.0 0.533363878727 14.7888350557 32.9283081724 53.9111820321 12.801774912 32.0719675732 20.5680778844 4 1 1 0 0 0 13 13 27.1009273691 162.452790665 0.0 45.9556388855 49.1328430176 43.8644104004 45.6175689697 1.94560510668 
14 4.80027490854 0.0 4.80027490854 7.29735218553 4.12942607704 9.03142122967 0.487109764446 4.31172705714 2.2505676094 34 3 1 0 0 0 14 14 96.4423084555 6.48376083582 0.0 35.3118290621 46.334197998 28.6685409546 35.5742874146 4.45651716185 
15 0.533363878727 0.0 0.533363878727 10.4918230092 21.4891709834 28.308383972 14.2391277921 21.920001186 7.04451583582 4 1 1 0 0 0 15 15 121.472916908 5.45261623094 0.0 38.9429512024 46.6760864258 33.4279632568 40.2944335938 5.11823292388 
16 2.00011454523 0.0 2.00011454523 59.6181032968 30.7264567289 41.8399630654 19.1869741783 31.9739544924 7.09818443947 15 1 1 0 0 0 16 16 51.1837943981 128.896205678 0.0 55.9130564372 61.9723510742 49.2188415527 55.9714202881 3.78144194397 
17 0.133340969682 0.0 0.133340969682 1.29687243017 9.72598619361 9.72598619361 9.72598619361 9.72598619361 nan 2 0 0 0 0 0 17 17 117.522496106 158.384372426 0.0 64.3990631104 65.7026977539 63.0954284668 65.7026977539 1.30363464355 
